P,MLS team,Player,Pos.,College,Conference,Club team,Signed
1,FC Cincinnati,United States Frankie Amaya^,MF,UCLA,Pac-12,N/A,United States FC Cincinnati
2,San Jose Earthquakes,United States Siad Haji^,MF,VCU,Atlantic 10,Portland Timbers U23s,United States San Jose Earthquakes
3,Orlando City SC,Colombia Santiago Patiño,FW,FIU,C-USA,Seattle Sounders FC U-23,United States Orlando City SC
4,FC Dallas [R1 trade 1],Canada Callum Montgomery,DF,Charlotte,C-USA,Victoria Highlanders,United States FC Dallas
5,Colorado Rapids [R1 trade 2],Brazil Andre Shinyashiki,FW,Denver,Summit,Colorado Rapids U-23,United States Colorado Rapids
6,Toronto FC,United States Griffin Dorsey^,FW,Indiana,Big Ten,Colorado Rapids U-23,Canada Toronto FC
7,Minnesota United FC,Canada Dayne St. Clair^,GK,Maryland,Big Ten,New York Red Bulls U-23,United States Minnesota United
8,Houston Dynamo,United States Sam Junqua,DF,California,Pac-12,San Francisco Glens,United States Houston Dynamo
9,New England Revolution,Canada Tajon Buchanan^,FW,Syracuse,ACC,N/A,United States New England Revolution
10,FC Dallas [R1 trade 3],United States John Nelson^,DF,North Carolina,ACC,Tobacco Road FC,United States FC Dallas
11,New England Revolution [R1 trade 4],United States DeJuan Jones,MF,Michigan State,Big Ten,Lansing United,United States New England Revolution
12,New York City FC [R1 trade 5],United States Luis Barraza,GK,Marquette,Big East,Chicago FC United,United States New York City FC
13,FC Cincinnati [R1 trade 6],United States Logan Gdula,DF,Wake Forest,ACC,Carolina Dynamo,United States FC Cincinnati
14,D.C. United,United States Akeem Ward,DF,Creighton,Big East,Chicago FC United,United States D.C. United
15,Minnesota United FC [R1 trade 7],United States Chase Gasper,DF,Maryland,Big Ten,FC Golden State Force,United States Minnesota United FC
16,New York Red Bulls [R1 trade 8],Ghana Roy Boateng,DF,UC Davis,Big West,San Francisco Glens,United States New York Red Bulls II (II Division)
17,Real Salt Lake,United States Sam Brown,MF,Harvard,Ivy,Portland Timbers U23s,United States Real Monarchs (II Division)
18,Columbus Crew SC,United States J. J. Williams^,FW,Kentucky,C-USA,Dayton Dutch Lions,United States Columbus Crew SC
19,LA Galaxy [R1 trade 9],Argentina Emil Cuello,MF,SMU,American,Ocean City Nor'easters,United States LA Galaxy
20,Seattle Sounders FC,United States Tucker Bone,MF,Air Force,WAC,Colorado Pride Switchbacks U23,United States Colorado Springs Switchbacks (II Division)
21,Sporting Kansas City,United States Kamar Marriott,DF,Florida Gulf Coast,Atlantic Sun,Seattle Sounders FC U-23,
22,New York Red Bulls,Germany János Löbe,FW,Fordham,Atlantic 10,New York Red Bulls U-23,United States New York Red Bulls II (II Division)
23,Portland Timbers,United States Ryan Sierakowski,FW,Michigan State,Big Ten,Chicago FC United,United States Portland Timbers 2 (II Division)
24,Atlanta United FC,Ghana Anderson Asiedu,MF,UCLA,Pac-12,FC Golden State Force,United States Atlanta United FC
Round 2,,,,,,,
P,MLS team,Player,Pos.,College,Conference,Club team,Signed
25,New York Red Bulls [R2 trade 1],United States Sean Nealis,DF,Hofstra,CAA,Westchester Flames,United States New York Red Bulls
26,San Jose Earthquakes,Mexico Sergio Rivas,MF,Seattle,WAC,Albuquerque Sol,United States Reno 1868 (II Division)
27,Orlando City SC,Canada Kamal Miller,DF,Syracuse,ACC,Reading United,United States Orlando City SC
28,Colorado Rapids,United States Marcello Borges,DF,Michigan,Big Ten,Michigan Bucks,United States Detroit City FC (IV Division)
29,FC Cincinnati [R2 trade 2],United States Tommy McCabe,MF,Notre Dame,ACC,Baltimore Bohemians,United States FC Cincinnati
30,FC Cincinnati [R2 trade 3],United States Jimmy Hague,GK,Michigan State,Big Ten,Michigan Bucks,United States FC Cincinnati
31,Minnesota United FC,United States Hassani Dotson,MF,Oregon State,Pac-12,Lane United,United States Minnesota United FC
32,New York Red Bulls [R2 trade 4],United States Rece Buckmaster,DF,Indiana,Big Ten,Chicago Fire U-23,United States New York Red Bulls II (II Division)
33,Houston Dynamo [R2 trade 5],United States Andrew Samuels,DF,Maryland,Big Ten,Tampa Bay Rowdies U23,United States RGVFC Toros (II Division)
34,Montreal Impact,Germany Amar Sejdi_,MF,Maryland,Big Ten,Derby City Rovers,Canada Montreal Impact
35,Vancouver Whitecaps FC,United States Brendan McDonough,DF,Georgetown,Big East,N/A,Canada Vancouver Whitecaps FC
36,LA Galaxy,Benin Don Tchilao,MF,Oregon State,Pac-12,Portland Timbers U23s,United States LA Galaxy II (II Division)
37,FC Cincinnati [R2 trade 6],Germany Ben Lundt,GK,Akron,MAC,Reading United,United States FC Cincinnati
38,Orlando City SC [R2 trade 7],United States Tommy Madden,MF,Charlotte,C-USA,N/A,United States New Mexico United (II Division)
39,Toronto FC [R2 trade 8],Scotland Adam Wilson,MF,Louisville,ACC,Cincinnati Dutch Lions,
40,Los Angeles FC,Jamaica Peter-Lee Vassell,MF,N/A,N/A,Harbour View,United States Los Angeles FC
41,Real Salt Lake,United States Kyle Coffee,FW,Washington,Pac-12,Portland Timbers U23s,United States Real Monarchs (II Division)
42,Colorado Rapids [R2 trade 9],United States Jacob Hauser-Ramsey,DF,Connecticut,American,Myrtle Beach Mutiny,United States Memphis 901 (II Division)
43,New York City FC,Somalia Abdi Mohamed,DF,Akron,MAC,N/A,United States New York City FC
44,Seattle Sounders FC,Sweden Joel Rydstrand,MF,Creighton,Big East,Lane United,United States Tacoma Defiance (II Division)
45,Sporting Kansas City,United States Camden Riley,MF,Pacific,WCC,Portland Timbers U23s,United States Swope Park Rangers (II Division)
46,San Jose Earthquakes [R2 trade 10],Canada Mamadi Camara,FW,Simon Fraser,GNAC (DII),Calgary Foothills,United States Colorado Springs Switchbacks (II Division)
47,Portland Timbers,Germany Lennart Hein,DF,Saint Louis,Atlantic 10,Saint Louis Club Atletico,
48,Atlanta United FC,United States Amir Bashti,FW,Stanford,Pac-12,Burlingame Dragons,United States San Francisco Glens (IV Division)
Round 3,,,,,,,
P,MLS team,Player,Pos.,College,Conference,Club team,Signed
49,FC Cincinnati,Jamaica Rashawn Dally,MF,Quinnipiac,MAAC,Myrtle Beach Mutiny,United States FC Cincinnati
50,San Jose Earthquakes,United States Nathan Aune,DF,Seattle,WAC,Seattle Sounders FC U-23,United States Reno 1868 (II Division)
51,LA Galaxy [R3 trade 1],PASS,N/A,N/A,N/A,N/A,N/A
52,LA Galaxy [R3 trade 2],PASS,N/A,N/A,N/A,N/A,N/A
53,Chicago Fire,Ghana Ebenezer Ackon,DF,Bowling Green,MAC,Lansing United,United States San Antonio FC (II Division)
54,Toronto FC,Denmark Patrick Bunk-Andersen,DF,Clemson,ACC,N/A,Canada Toronto FC II (III Division)
55,Chicago Fire [R3 trade 3],United States Grant Stoneman,DF,Loyola Chicago,MVC,Chicago FC United,United States Lansing Ignite (III Division)
56,Houston Dynamo,United States Brad Dunwell,MF,Wake Forest,ACC,Michigan Bucks,United States RGVFC Toros (II Division)
57,New England Revolution,PASS,N/A,N/A,N/A,N/A,N/A
58,Montreal Impact,PASS,N/A,N/A,N/A,N/A,N/A
59,Orlando City SC[R3 trade 4],United States Scott DeVoss,DF,Denver,Summit,Colorado Rapids U23,United States Hartford Athletic (II Division)
60,LA Galaxy,PASS,N/A,N/A,N/A,N/A,N/A
61,FC Cincinnati[R3 trade 5],PASS,N/A,N/A,N/A,N/A,N/A
62,D.C. United,Cape Verde Geo Alves,MF,Vermont,America East,Real Boston Rams,
63,FC Dallas,United States Eduvie Ikoba,FW,Dartmouth,Ivy,Black Rock FC,Hungary ZTE
64,Los Angeles FC,Spain Javier Pérez,MF,Pittsburgh,ACC,N/A,United States Los Angeles FC
65,Real Salt Lake,PASS,N/A,N/A,N/A,N/A,N/A
66,Columbus Crew SC,Bermuda Justin Donawa,MF,Dartmouth,Ivy,Black Rock FC,England Darlington
67,New York City FC,PASS,N/A,N/A,N/A,N/A,N/A
68,Seattle Sounders FC,United States Aleks Berkolds,DF,San Diego State,Pac-12,Seattle Sounders FC U-23,United States Tacoma Defiance (II Division)
69,Sporting Kansas City,United States Franky Martinez,DF,UMass Lowell,America East,Lehigh Valley United,United States Seacoast United Phantoms (IV Division)
70,New York Red Bulls,Ghana Rashid Nuhu,GK,Fordham,Atlantic 10,New York Red Bulls U-23,United States New York Red Bulls II (II Division)
71,Portland Timbers,United States Francesco Moore,DF,Indiana,Big Ten,Chicago FC United,
72,D.C. United [R3 trade 6],Japan Shinya Kadono,MF,California,Pac-12,San Francisco Glens,United States Loudoun United (II Division)
Round 4,,,,,,,
P,MLS team,Player,Pos.,College,Conference,Club team,Signed
