DRAWS,GA,GAMES,GD,GF,LOSES,PLAYOFF_ROUND,POINTS,SHOOT_OUT_LOSES,SHOOT_OUT_WINS,SO,STANDINGS_RANK,TEAM,WINS,YEAR,,,,
,51,32,15,66,12,2,58,,1,,1,Tampa Bay Mutiny,19,1996,10,,,
,49,32,10,59,13,3,49,,4,,2,LA Galaxy,15,1996,,,,Year 1
,56,32,6,62,16,4,46,,1,,3,D.C. United,15,1996,,,Tampa Bay Mutiny,1996
,48,32,2,50,15,1,41,,5,,4,FC Dallas,12,1996,,,LA Galaxy,1996
,63,32,-2,61,15,2,41,,5,,5,Sporting Kansas City,12,1996,,,D.C. United,1996
,50,32,0,50,17,1,39,,3,,6,San Jose Clash,12,1996,,,FC Dallas,1996
,47,32,-2,45,17,1,39,,3,,7,New York Red Bulls,12,1996,,,Sporting Kansas City,1996
,60,32,-1,59,17,1,37,,4,,8,Columbus Crew SC,11,1996,,,San Jose Clash,1996
,56,32,-13,43,17,0,33,,6,,9,New England Revolution,9,1996,,,New York Red Bulls,1996
,59,32,-15,44,21,0,29,,2,,10,Colorado Rapids,9,1996,,,Columbus Crew SC,1996
,53,32,17,70,11,4,55,,4,,1,D.C. United,17,1997,,,New England Revolution,1996
,51,32,6,57,11,1,49,,7,,2,Sporting Kansas City,14,1997,,,Colorado Rapids,1996
,60,32,-5,55,15,1,45,,3,,3,Tampa Bay Mutiny,14,1997,,,Chicago Fire,1998
,44,32,11,55,16,1,44,,2,,4,LA Galaxy,14,1997,,,Miami Fusion,1998
,49,32,6,55,16,2,42,,3,,5,FC Dallas,13,1997,,,San Jose Earthquakes,2000
,41,32,1,42,17,2,39,,3,,6,Columbus Crew SC,12,1997,,,Real Salt Lake,2005
,59,32,-9,50,18,3,38,,2,,7,Colorado Rapids,12,1997,,,Chivas USA,2005
,53,32,-13,40,17,1,37,,4,,8,New England Revolution,11,1997,,,Houston Dynamo,2006
,53,32,-10,43,19,0,35,,2,,9,New York Red Bulls,11,1997,,,Toronto FC,2007
,59,32,-4,55,20,0,30,,3,,10,San Jose Clash,9,1997,,,Seattle Sounders FC,2009
,44,32,41,85,8,2,68,2,2,4,1,LA Galaxy,24,1998,,,Philadelphia Union,2010
,48,32,26,74,8,3,58,3,7,10,2,D.C. United,24,1998,,,Portland Timbers,2011
,45,32,17,62,12,4,56,2,2,4,3,Chicago Fire,20,1998,,,Vancouver Whitecaps FC,2011
